Player,Tm,FantPos,Age,FantPt,PPR,DKPt,PosRank
Marquez Valdes-Scantling,GNB,WR,27,2,4.7,4.7,97
Mecole Hardman,KAN,WR,23,2,4.9,4.9,93
Malcolm Brown,MIA,RB,28,2,1.6,1.6,61
Ameer Abdullah,MIN,RB,28,2,3.9,3.9,60
Adam Trautman,NOR,TE,24,2,4.8,4.8,39
Kendrick Bourne,NWE,WR,26,2,2.7,2.7,95
Michael Carter,NYJ,RB,22,2,3.0,3.0,58
Tevin Coleman,NYJ,RB,28,2,2.4,2.4,55
Ryan Griffin,NYJ,TE,31,2,5.2,5.2,32
Anthony Firkser,TEN,TE,26,2,4.9,4.9,36
Quez Watkins,PHI,WR,23,2,5.3,5.3,88
Eric Ebron,PIT,TE,28,2,2.9,2.9,37
Pat Freiermuth,PIT,TE,23,2,3.4,3.4,31
Alec Ingold,LVR,RB,25,2,6.2,6.2,57
DeSean Jackson,LAR,WR,35,2,4.1,4.1,90
Mark Andrews,BAL,TE,26,2,5.0,5.0,35
Patrick Ricard,BAL,RB,27,2,3.5,3.5,62
Josh Palmer,LAC,WR,23,2,2.7,2.7,98
Raheem Mostert,SFO,RB,29,2,2.0,2.0,59
Mike Evans,TAM,WR,28,2,5.4,5.4,85
Cam Sims,WAS,WR,25,2,2.7,2.7,96
Dan Arnold,CAR,TE,26,1,2.6,2.6,47
Jimmy Graham,CHI,TE,35,1,2.1,2.1,42
Mike Thomas,CIN,WR,27,1,1.5,1.5,116
Eric Saubert,DEN,TE,27,1,1.7,1.7,46
Courtland Sutton,DEN,WR,26,1,2.4,2.4,102
Tyrell Williams,DET,WR,29,1,3.4,3.4,103
Kylin Hill,GNB,RB,23,1,1.4,1.4,63
Jordan Love,GNB,QB,23,1,0.7,1.7,36
Aaron Rodgers,GNB,QB,38,1,1.3,3.3,35
Malik Taylor,GNB,WR,26,1,3.4,3.4,100
Robert Tonyan,GNB,TE,27,1,2.8,2.8,44
Rex Burkhead,HOU,RB,31,1,1.6,1.6,75
